Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2024,I,Amazona auropalliata,Aves,Psittaciformes,Psittacidae,Amazona,DE,GT,,2,,specimens,Number of specimens,S,I
2024,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NL,CW,,1,,live,,P,O
2024,I,Amazona finschi,Aves,Psittaciformes,Psittacidae,Amazona,FI,CA,,2,,live,Number of specimens,P,F
2024,I,Amazona oratrix,Aves,Psittaciformes,Psittacidae,Amazona,DE,GT,,10,,specimens,Number of specimens,S,I
2024,I,Anodorhynchus hyacinthinus,Aves,Psittaciformes,Psittacidae,Anodorhynchus,DE,CH,,1,,live,Number of specimens,P,C
2024,I,Ara ambiguus,Aves,Psittaciformes,Psittacidae,Ara,DE,GT,,5,,specimens,Number of specimens,S,I
2024,I,Ara macao,Aves,Psittaciformes,Psittacidae,Ara,DE,GT,,50,,specimens,Number of specimens,S,I
2024,I,Ara militaris,Aves,Psittaciformes,Psittacidae,Ara,DE,GT,,8,,specimens,Number of specimens,S,I
2024,I,Cyanoramphus novaezelandiae,Aves,Psittaciformes,Psittacidae,Cyanoramphus,PL,UA,,1,,live,Number of specimens,P,C
2024,I,Primolius maracana,Aves,Psittaciformes,Psittacidae,Primolius,DE,CH,,1,,live,Number of specimens,P,C
2024,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,BE,MA,BE,,1,live,,P,C
2024,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,CY,GB,,3,,live,Number of specimens,P,U
2024,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,CY,RU,,1,,live,Number of specimens,P,C
2024,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,DE,CH,NL,1,,live,Number of specimens,P,C
2024,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,DE,CH,,2,,live,Number of specimens,P,C
2024,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,DE,US,,2,,live,Number of specimens,P,F
2024,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,DE,ZA,,1,,live,Number of specimens,P,C
2024,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,DE,ZA,,2,,live,Number of specimens,P,D
2024,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,DE,ZA,,1,,live,Number of specimens,P,F
2024,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,GB,FI,DK,,1,live,Number of specimens,P,C
2024,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,GB,FI,SE,,1,live,Number of specimens,P,C
2024,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,GB,IE,SA,,1,live,Number of specimens,P,C
2024,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,GB,QA,PH,,1,live,Number of specimens,T,C
2024,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,HR,UA,,1,,live,Number of specimens,P,C
