"Taxon","total_importer_qty"
"Eclectus roratus",18
"Psittacus erithacus",18
"Cyanoliseus patagonus",12
"Ara ararauna",10
"Pyrrhura molinae",9
"Myiopsitta monachus",7
"Amazona aestiva",6
"Aratinga solstitialis",6
"Deroptyus accipitrinus",6
"Psittacula eupatria",5
"Pionites leucogaster",4
"Tanygnathus lucionensis",4
"Agapornis fischeri",2
"Amazona autumnalis",2
"Amazona finschi",2
"Pionites melanocephalus",2
"Agapornis personatus",1
"Amazona farinosa",1
"Amazona ochrocephala",1
"Anodorhynchus hyacinthinus",1
"Aratinga jandaya",1
"Cyanoramphus novaezelandiae",1
"Forpus coelestis",1
"Poicephalus meyeri",1
"Primolius maracana",1
"Tanygnathus sumatranus",1
"Psittacula derbiana",0
